clientId,cluster,jobName,cronExpression,serverTimezone,fireTimeServer,fireTimeUtc,fireTimeIst,command
"HMROW","CL53","HMROW - sync clocking event [HNM]","*/5 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh HNM >> /mount/RWS4/batch_jobs/log/sync_clockin"
"HMROW","CL53","HMROW - sync from Sftp VD","*/15 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_from_Sftp_VD.sh >> /mount/RWS4/batch_jobs/log/sync_from_Sftp_VD."
"HMROW","CL53","HMROW - sync to Sftp [HNM]","*/15 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_to_Sftp.sh HNM >> /mount/RWS4/batch_jobs/log/sync_to_Sftp.log 2>"
"HMROW","CL53","HMROW - sync to Sftp payroll CountrySpecific (*/30 * * * *)","*/30 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_to_Sftp_payroll_CountrySpecific.sh >> /mount/RWS4/batch_jobs/log"
"HMROW","CL53","HMROW - sync to Sftp payroll [HNM]","*/15 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_to_Sftp_payroll.sh HNM >> /mount/RWS4/batch_jobs/log/sync_to_Sft"
"HMROW","CL53","HMROW - workflow [ClockingEventJob 0 0 HNM]","*/6 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/workflow.sh ClockingEventJob 0 0 HNM >> /mount/RWS4/batch_jobs/log/Cl"
"HNMG","CL77","HNMG - sync from Sftp","*/15 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_from_Sftp.sh >> /mount/RWS4/batch_jobs/log/sync_from_Sftp.log 2>"
"HNMG","CL77","HNMG - sync to Sftp [HNM]","*/15 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_to_Sftp.sh HNM >> /mount/RWS4/batch_jobs/log/sync_to_Sftp.log 2>"
"HNMG","CL77","HNMG - upload payfile","*/30 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/upload_payfile.sh  >/dev/null 2>&1"
"HOLT","CL26","HOLT - monitor HOLT NewTaUnitPayDetailGeneratorJob","*/10 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/WAPM/scripts/monitor_HOLT_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/ba"
